candidate_count,confidence,confidence_reasons,generated_template_count,no_candidate_reason,no_candidate_reasons,risk,step
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold""]",True,0
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,1
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,2
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,3
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,4
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,5
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,6
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,7
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,8
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,9
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,10
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,11
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,12
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,13
0,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,14
