best_candidate_id,best_template_name,candidate_count,candidate_count_after_override,candidate_count_before_override,candidate_count_override_applied,candidate_count_override_flags,candidate_count_override_reason,confidence,confidence_reasons,generated_template_count,margin_status,no_candidate_reason,no_candidate_reasons,risk,risk_category_flags,selected_score_margin,step
conservative_prior:conservative_stabilize:6,conservative_stabilize,1,1,0,True,"[""any_risk""]",risk_triggered_conservative_floor,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",1,lower_score,,[],True,"{""any_risk"": true, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": true, ""solver_sensitive_risk"": false}",0.07587500000000014,0
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,1
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,2
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,3
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,4
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,5
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,6
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,7
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,8
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,9
,,0,0,0,False,[],,0.05,"{""crash_warning_score"": 0.0, ""raw_confidence"": 0.05, ""solver_risk"": 0.0, ""vpd_risk"": 0.0}",0,no_candidate,confidence_below_candidate_threshold,"[""confidence_below_candidate_threshold"", ""risk_trigger_missing_or_low""]",False,"{""any_risk"": false, ""co2_ventilation_conflict"": false, ""dry_or_high_vpd_risk"": false, ""humidity_or_dew_risk"": false, ""solver_sensitive_risk"": false}",,10
